test_id,VT1 (VEQ),VT2 (V-Slope),|VT1 - VT2|,Average VT
119_1,1596.0,1316.0,280.0,1456.0
120_1,1480.0,1319.0,161.0,1399.5
121_1,1523.0,1523.0,0.0,1523.0
122_1,1307.0,1317.0,10.0,1312.0
123_1,1318.0,1317.0,1.0,1317.5
124_3,2385.0,1345.0,1040.0,1865.0
124_1,2154.0,2266.0,112.0,2210.0
125_6,1835.0,1034.0,801.0,1434.5
125_1,1287.0,1210.0,77.0,1248.5
126_1,3191.0,3191.0,0.0,3191.0
127_1,1690.0,1794.0,104.0,1742.0
128_1,1336.0,2271.0,935.0,1803.5
129_1,1090.0,2688.0,1598.0,1889.0
130_1,1206.0,1185.0,21.0,1195.5
131_1,1416.0,1959.0,543.0,1687.5
132_7,2112.0,2159.0,47.0,2135.5
132_1,1700.0,2396.0,696.0,2048.0
133_4,1213.0,1444.0,231.0,1328.5
133_1,1548.0,1627.0,79.0,1587.5
134_2,1623.0,2331.0,708.0,1977.0
134_1,2238.0,2875.0,637.0,2556.5
135_1,1523.0,2490.0,967.0,2006.5
136_1,1592.0,1556.0,36.0,1574.0
137_1,1606.0,1728.0,122.0,1667.0
138_1,1520.0,1400.0,120.0,1460.0
139_1,1203.0,1165.0,38.0,1184.0
140_1,994.0,1013.0,19.0,1003.5
141_1,1135.0,1055.0,80.0,1095.0
142_1,1401.0,1418.0,17.0,1409.5
143_1,1714.0,2039.0,325.0,1876.5
144_1,2085.0,1727.0,358.0,1906.0
145_1,1386.0,2595.0,1209.0,1990.5
146_1,1605.0,2284.0,679.0,1944.5
147_1,1907.0,2228.0,321.0,2067.5
148_1,1441.0,1237.0,204.0,1339.0
149_1,1006.0,935.0,71.0,970.5
150_1,1274.0,1962.0,688.0,1618.0
151_1,1299.0,1420.0,121.0,1359.5
152_1,1947.0,2764.0,817.0,2355.5
153_1,2007.0,2184.0,177.0,2095.5
154_1,2097.0,2049.0,48.0,2073.0
155_1,2184.0,2227.0,43.0,2205.5
155_2,1691.0,1569.0,122.0,1630.0
156_1,1487.0,1317.0,170.0,1402.0
157_1,2198.0,2375.0,177.0,2286.5
158_1,2082.0,2062.0,20.0,2072.0
159_1,1614.0,1983.0,369.0,1798.5
160_1,1675.0,1208.0,467.0,1441.5
161_1,2634.0,2791.0,157.0,2712.5
162_1,1639.0,2362.0,723.0,2000.5
163_1,1089.0,1032.0,57.0,1060.5
164_1,2338.0,2433.0,95.0,2385.5
165_1,2221.0,2083.0,138.0,2152.0
166_1,1214.0,2318.0,1104.0,1766.0
167_1,1493.0,1370.0,123.0,1431.5
168_1,2309.0,2054.0,255.0,2181.5
169_1,1603.0,1753.0,150.0,1678.0
170_1,1584.0,2220.0,636.0,1902.0
171_1,1093.0,902.0,191.0,997.5
172_1,1846.0,2363.0,517.0,2104.5
173_1,2133.0,2356.0,223.0,2244.5
174_1,2607.0,2637.0,30.0,2622.0
175_1,1377.0,1508.0,131.0,1442.5
176_4,1469.0,2350.0,881.0,1909.5
176_1,1273.0,1312.0,39.0,1292.5
177_28,1188.0,2981.0,1793.0,2084.5
177_1,1261.0,2261.0,1000.0,1761.0
178_18,2208.0,2343.0,135.0,2275.5
178_1,1082.0,933.0,149.0,1007.5
179_9,1166.0,1161.0,5.0,1163.5
179_1,2467.0,2423.0,44.0,2445.0
182_1,1635.0,1465.0,170.0,1550.0
183_1,1226.0,2578.0,1352.0,1902.0
184_1,1697.0,1742.0,45.0,1719.5
185_1,1483.0,1073.0,410.0,1278.0
186_1,1504.0,1585.0,81.0,1544.5
187_1,872.0,1181.0,309.0,1026.5
188_6,2179.0,2634.0,455.0,2406.5
188_1,2417.0,2907.0,490.0,2662.0
189_1,1739.0,1793.0,54.0,1766.0
190_1,2140.0,2760.0,620.0,2450.0
191_1,1453.0,1425.0,28.0,1439.0
192_1,1975.0,2728.0,753.0,2351.5
193_1,2211.0,2659.0,448.0,2435.0
194_1,2679.0,2488.0,191.0,2583.5
195_8,2739.0,2651.0,88.0,2695.0
195_1,1699.0,1421.0,278.0,1560.0
196_1,1249.0,1163.0,86.0,1206.0
197_1,3345.0,3425.0,80.0,3385.0
198_1,1266.0,1101.0,165.0,1183.5
199_1,1505.0,1822.0,317.0,1663.5
200_1,1751.0,2740.0,989.0,2245.5
201_1,2015.0,1134.0,881.0,1574.5
202_1,1585.0,1702.0,117.0,1643.5
203_1,1708.0,,,
204_1,1476.0,1217.0,259.0,1346.5
205_1,1754.0,2905.0,1151.0,2329.5
206_1,1085.0,1660.0,575.0,1372.5
207_1,1709.0,1571.0,138.0,1640.0
208_1,2057.0,2140.0,83.0,2098.5
209_1,912.0,800.0,112.0,856.0
210_1,1997.0,2703.0,706.0,2350.0
211_1,2026.0,1887.0,139.0,1956.5
212_1,975.0,1731.0,756.0,1353.0
213_1,1218.0,1377.0,159.0,1297.5
214_1,1183.0,1195.0,12.0,1189.0
215_1,986.0,1001.0,15.0,993.5
216_1,920.0,1846.0,926.0,1383.0
217_38,2242.0,2288.0,46.0,2265.0
217_1,2402.0,2245.0,157.0,2323.5
218_1,1802.0,3003.0,1201.0,2402.5
219_1,2173.0,2252.0,79.0,2212.5
220_1,1468.0,1221.0,247.0,1344.5
221_1,2053.0,2545.0,492.0,2299.0
222_1,1283.0,1106.0,177.0,1194.5
223_1,1984.0,1999.0,15.0,1991.5
224_1,1661.0,2041.0,380.0,1851.0
225_1,806.0,825.0,19.0,815.5
226_1,1396.0,1679.0,283.0,1537.5
227_1,2381.0,3289.0,908.0,2835.0
228_1,1749.0,1436.0,313.0,1592.5
229_1,2684.0,3110.0,426.0,2897.0
230_1,1210.0,1291.0,81.0,1250.5
231_1,1288.0,1899.0,611.0,1593.5
232_1,1917.0,1917.0,0.0,1917.0
234_10,1458.0,2019.0,561.0,1738.5
234_1,1235.0,1275.0,40.0,1255.0
235_1,1370.0,1634.0,264.0,1502.0
237_1,1157.0,969.0,188.0,1063.0
238_1,2442.0,2522.0,80.0,2482.0
239_1,1174.0,1241.0,67.0,1207.5
240_1,2911.0,2959.0,48.0,2935.0
241_1,1137.0,1037.0,100.0,1087.0
242_1,1317.0,1298.0,19.0,1307.5
243_1,1653.0,1947.0,294.0,1800.0
244_1,1507.0,1982.0,475.0,1744.5
245_3,1669.0,2442.0,773.0,2055.5
245_1,1368.0,2560.0,1192.0,1964.0
246_1,1808.0,2333.0,525.0,2070.5
247_1,1128.0,1090.0,38.0,1109.0
248_1,2012.0,2180.0,168.0,2096.0
249_1,1587.0,1644.0,57.0,1615.5
250_1,1182.0,1223.0,41.0,1202.5
251_1,1741.0,2778.0,1037.0,2259.5
252_1,2441.0,2445.0,4.0,2443.0
253_1,1044.0,1015.0,29.0,1029.5
254_1,2537.0,1418.0,1119.0,1977.5
255_1,1878.0,1302.0,576.0,1590.0
256_1,1522.0,2167.0,645.0,1844.5
257_36,3057.0,2693.0,364.0,2875.0
257_1,1115.0,1014.0,101.0,1064.5
258_1,2718.0,2687.0,31.0,2702.5
259_1,3055.0,3031.0,24.0,3043.0
260_1,2449.0,2324.0,125.0,2386.5
261_1,3139.0,3334.0,195.0,3236.5
262_1,1109.0,2401.0,1292.0,1755.0
263_1,1633.0,1552.0,81.0,1592.5
264_1,1401.0,1419.0,18.0,1410.0
265_1,1636.0,1185.0,451.0,1410.5
266_1,1440.0,1447.0,7.0,1443.5
267_1,1601.0,1541.0,60.0,1571.0
268_25,1101.0,1067.0,34.0,1084.0
268_1,1052.0,1887.0,835.0,1469.5
269_1,1542.0,2372.0,830.0,1957.0
270_1,964.0,1454.0,490.0,1209.0
271_1,2263.0,2266.0,3.0,2264.5
272_1,1718.0,2069.0,351.0,1893.5
273_1,1442.0,1649.0,207.0,1545.5
274_1,860.0,1380.0,520.0,1120.0
275_1,1482.0,2101.0,619.0,1791.5
276_1,2094.0,2228.0,134.0,2161.0
277_1,3327.0,3057.0,270.0,3192.0
278_1,2180.0,2152.0,28.0,2166.0
279_1,893.0,981.0,88.0,937.0
